C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\pom.xml;Dependency {groupId=org.easymock, artifactId=easymock, version=${easymock.version}, type=jar};USED;6
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\pom.xml;Dependency {groupId=org.junit.jupiter, artifactId=junit-jupiter-api, version=null, type=jar};USED;6
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core\pom.xml;Dependency {groupId=log4j, artifactId=log4j, version=null, type=jar};USED;5
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core\pom.xml;Dependency {groupId=org.hsqldb, artifactId=hsqldb, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core\pom.xml;Dependency {groupId=org.slf4j, artifactId=slf4j-log4j12, version=null, type=jar};USED;2
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\core\pom.xml;Dependency {groupId=org.slf4j, artifactId=jcl-over-slf4j, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\crypto\cipher\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-lang, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\crypto\cipher\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-crypto-core, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\crypto\cipher\pom.xml;Dependency {groupId=org.bouncycastle, artifactId=bcprov-jdk15on, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\crypto\core\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-lang, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\crypto\hash\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-crypto-core, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\crypto\hash\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-lang, version=null, type=jar};USED;1
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\crypto\hash\pom.xml;Dependency {groupId=org.bouncycastle, artifactId=bcprov-jdk15on, version=null, type=jar};UNUSED
C:\Users\LenovoThinkPadT450s\OneDrive - Universität Zürich UZH\Studium\Bachelor Thesis\Repository mining\Projects_To_Analyze\shiro-main\crypto\support\hashes\argon2\pom.xml;Dependency {groupId=org.apache.shiro, artifactId=shiro-crypto-hash, version=null, type=jar};USED;1
